brand,cashback,offer,details,url,source,date_time
"horchow","4.0%","4.0% Cash Back","Get a great deal from See all Horchow plus  4.0% Cash Back  from Ebates!","horchow.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"intermix","4.0%","4.0% Cash Back","Get a great deal from See all INTERMIX plus  4.0% Cash Back  from Ebates!","intermix.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"jbrand","4.0%","4.0% Cash Back","Get a great deal from See all J Brand plus  4.0% Cash Back  from Ebates!","jbrand.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"jimmychoo","4.0%","4.0% Cash Back","Get a great deal from See all Jimmy Choo plus  4.0% Cash Back  from Ebates!","jimmychoo.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"johnvarvatos","4.0%","4.0% Cash Back","Get a great deal from See all John Varvatos plus  4.0% Cash Back  from Ebates!","johnvarvatos.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"jurlique","4.0%","4.0% Cash Back","Get a great deal from See all Jurlique plus  4.0% Cash Back  from Ebates!","jurlique.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"marcjacobsbeauty","4.0%","4.0% Cash Back","Get a great deal from See all Marc Jacobs Beauty plus  4.0% Cash Back  from Ebates!","marcjacobsbeauty.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:45
"neimanmarcuslastcall","4.0%","4.0% Cash Back","Get a great deal from Neiman Marcus Last Call plus  4.0% Cash Back  from Ebates!","neimanmarcuslastcall.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"orchardmile","4.0%","4.0% Cash Back","Get a great deal from See all Orchard Mile plus  4.0% Cash Back  from Ebates!","orchardmile.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"ray-ban","4.0%","4.0% Cash Back","Get a great deal from See all Ray-Ban plus  4.0% Cash Back  from Ebates!","ray-ban.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"revive","4.0%","4.0% Cash Back","Get a great deal from See all ReVive plus  4.0% Cash Back  from Ebates!","revive.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"saksfifthavenue","4.0%","4.0% Cash Back","Get a great deal from See all Saks Fifth Avenue plus  4.0% Cash Back  from Ebates!","saksfifthavenue.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"saksfifthavenueoff5th","4.0%","4.0% Cash Back","Get a great deal from See all Saks OFF 5TH plus  4.0% Cash Back  from Ebates!","saksfifthavenueoff5th.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"sephora","4.0%","4.0% Cash Back","Get a great deal from See all Sephora plus  4.0% Cash Back  from Ebates!","sephora.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
"shiseido","4.0%","4.0% Cash Back","Get a great deal from See all Shiseido plus  4.0% Cash Back  from Ebates!","shiseido.com","https://www.ebates.com/luxury/all-stores.htm",2017-05-03 17:00:46
